Ticker,CAPM
VMC,0.17632910707463287
WMT,0.10517015910095585
WBA,0.16226570827995657
WST,0.13875251168130529
WDC,0.2754953433778718
WY,0.32569679402769947
WHR,0.2612735898473942
WMB,0.22974564347680015
WEC,0.15692939751076657
LNT,0.1642837018932812
TJX,0.2175177233776166
ZION,0.20322736083882179
JKHY,0.1500834407017945
TFC,0.2827193708951283
MS,0.27774302564648873
TROW,0.2290561654220776
MSFT,0.21903034403522267
ORCL,0.18351234803805205
IT,0.19806456748636023
NVR,0.2271276932693378
ADBE,0.21331940949617176
FISV,0.22605099973277895
CERN,nan
PEAK,0.2478649219681797
PGR,0.14587002777487873
CDNS,0.2130171085061178
CCL,0.3764500016588885
DRE,nan
ABMD,0.12443254735905872
XRAY,0.17985968368011424
SCHW,0.2140905207425815
